Algorithm,Cycle,Quality,BPP,FID,BD-rate
VVC,N/A,24,0.998549567328559,9.043552187891407,
VVC,N/A,28,0.655289543999566,19.527256927991175,
VVC,N/A,32,0.40592108832465285,30.558202640961497,
VVC,N/A,36,0.23140292697482642,53.54667682814693,
VVC,N/A,40,0.1251313951280382,79.65180147389276,
CRDR,First,0.0,0.10949028862847221,29.591198726411733,-76.48%
CRDR,Second,0.0,0.10505167643229167,40.20207543645097,-62.90%
CRDR,Third,0.0,0.103057861328125,48.07474890709631,-56.11%
CRDR,Fourth,0.0,0.10191853841145833,55.83508153156339,-47.62%
CRDR,First,1.0,0.204345703125,15.731906977584345,-76.48%
CRDR,Second,1.0,0.20014784071180558,23.39857695173788,-62.90%
CRDR,Third,1.0,0.19842190212673613,28.356438429318246,-56.11%
CRDR,Fourth,1.0,0.19768608940972224,33.16652574051329,-47.62%
CRDR,First,2.0,0.40242852105034715,10.065126380774814,-76.48%
CRDR,Second,2.0,0.3984578450520833,13.78980527430349,-62.90%
CRDR,Third,2.0,0.39713202582465273,15.776268315266975,-56.11%
CRDR,Fourth,2.0,0.3967556423611111,18.328056131904987,-47.62%
CRDR,First,3.0,0.732876247829861,4.555977105641375,-76.48%
CRDR,Second,3.0,0.728908962673611,6.519347171780282,-62.90%
CRDR,Third,3.0,0.728725857204861,7.654309139243935,-56.11%
CRDR,Fourth,3.0,0.7290547688802084,9.534380172762326,-47.62%
CRDR,First,4.0,1.0503336588541667,2.9626209990123016,-76.48%
CRDR,Second,4.0,1.0500895182291667,4.532753275300195,-62.90%
CRDR,Third,4.0,1.0532667371961806,5.877253139184745,-56.11%
CRDR,Fourth,4.0,1.056148952907986,7.177448418570634,-47.62%
