Algorithm,Configuration,Quality,BPP,PSNR
CRDR,High,0.0,0.10949028862847221,27.185684
CRDR,Low,0.0,0.10949028862847221,28.131615
CRDR,High-High,0.0,0.10505167643229167,32.428463
CRDR,Low-Low,0.0,0.09012518988715278,32.76485
CRDR,High-Low,0.0,0.10505167643229167,31.441484
CRDR,Low-High,0.0,0.09012179904513888,32.10288
CRDR,High,1.0,0.204345703125,29.234934
CRDR,Low,1.0,0.204345703125,30.230606
CRDR,High-High,1.0,0.20014784071180558,34.670254
CRDR,Low-Low,1.0,0.17537095811631945,34.642735
CRDR,High-Low,1.0,0.20014784071180558,33.48817
CRDR,Low-High,1.0,0.17537095811631945,33.755497
CRDR,High,2.0,0.40242852105034715,31.81455
CRDR,Low,2.0,0.40242852105034715,32.939255
CRDR,High-High,2.0,0.3984578450520833,37.622684
CRDR,Low-Low,2.0,0.36499701605902773,37.63272
CRDR,High-Low,2.0,0.3984578450520833,35.990944
CRDR,Low-High,2.0,0.3650004069010417,36.294125
CRDR,High,3.0,0.732876247829861,34.63838
CRDR,Low,3.0,0.732876247829861,35.790047
CRDR,High-High,3.0,0.728908962673611,40.696682
CRDR,Low-Low,3.0,0.6896328396267362,41.000843
CRDR,High-Low,3.0,0.728908962673611,38.866688
CRDR,Low-High,3.0,0.6896328396267362,39.2172
CRDR,High,4.0,1.0503336588541667,36.302883
CRDR,Low,4.0,1.0503336588541667,37.638096
CRDR,High-High,4.0,1.0500895182291667,41.72651
CRDR,Low-Low,4.0,0.998077392578125,42.914276
CRDR,High-Low,4.0,1.0500895182291667,40.0603
CRDR,Low-High,4.0,0.9980740017361112,40.430073
