Method,Correlation,FID
HiFiC-Med,0.9632982233295365,3.196035963690349
Hyperprior,0.904113918301908,8.315811449181751
JPEG 70,0.9261259852704995,0.6622650031523563
JPEG 50,0.8953612098286992,1.271477098920002
MRIC Beta 0.0,0.8779043824412194,20.895057558688904
MRIC Beta 2.56,0.9241123278761617,19.80538730822252
CRDR Beta 0.0,0.9301389379837386,1.8686056097279788
CRDR Beta 0.64,0.9596069992484217,1.621724773911751
CRDR Beta 1.28,0.9622383806348334,1.5921561056380256
CRDR Beta 2.56,0.967231803790524,1.5561374285111924
CRDR Beta 3.84,0.9704217539318509,1.5506665994041668
CRDR Beta 5.12,0.9713834767968503,1.5500635298965904
