Method,Original,JPEG 10%,JPEG 30%,JPEG 50%,JPEG 70%,JPEG 90%,WebP 10%,WebP 30%,WebP 50%,WebP 70%,WebP 90%,HiFiC,Hyperprior,ELIC,Cool-Chic 0.01,Cool-Chic 0.001,Cool-Chic 0.0001
Original,,30.66,32.73,33.73,34.79,38.14,32.22,33.26,34.22,35.24,39.77,32.57,32.1,37.57,31.93,34.82,40.84
JPEG 10%,,30.7,30.69,30.69,30.69,30.7,30.87,30.94,30.95,30.91,30.71,30.7,30.9,30.77,30.9,30.83,30.76
JPEG 30%,,30.67,32.78,32.37,32.58,32.78,31.91,32.39,32.59,32.7,32.74,32.18,31.94,33.0,31.81,32.77,32.76
JPEG 50%,,30.69,32.05,33.78,33.33,33.76,32.07,32.75,33.11,33.35,33.68,32.46,32.06,33.97,31.95,33.4,33.72
JPEG 70%,,30.66,32.72,32.84,34.86,34.81,32.14,32.98,33.5,33.89,34.58,32.53,32.08,34.86,31.95,33.84,34.69
JPEG 90%,,30.69,32.76,33.75,34.82,38.28,32.21,33.22,34.07,34.85,37.13,32.55,32.11,36.67,32.02,34.45,37.49
WebP 10%,,30.48,31.69,31.91,32.04,32.17,31.63,31.84,31.96,32.05,32.19,31.84,31.6,32.27,31.52,32.16,32.24
WebP 30%,,30.58,32.1,32.54,32.79,33.11,31.79,32.58,32.78,32.88,33.14,32.24,31.85,33.26,31.78,32.86,33.2
WebP 50%,,30.62,32.33,32.9,33.33,33.9,31.92,32.76,33.51,33.67,34.02,32.41,31.95,34.09,31.88,33.33,34.06
WebP 70%,,30.65,32.48,33.16,33.74,34.65,32.04,32.81,33.61,34.47,34.9,32.51,32.01,34.84,31.9,33.71,34.97
WebP 90%,,30.68,32.73,33.63,34.57,36.95,32.17,33.15,34.01,34.85,38.85,32.58,32.09,36.69,32.01,34.37,38.25
HiFiC,,30.52,31.89,32.21,32.36,32.5,31.72,32.15,32.35,32.47,32.57,32.3,31.13,32.83,30.27,31.15,31.19
Hyperprior,,30.41,31.56,31.79,31.91,32.03,31.39,31.66,31.8,31.89,32.04,31.4,31.81,32.1,30.22,30.7,30.81
ELIC,,30.68,32.64,33.46,34.24,35.94,32.14,33.05,33.75,34.4,36.29,31.69,33.32,36.77,30.58,32.82,35.48
Cool-Chic 0.01,,30.34,31.37,31.59,31.71,31.84,31.33,31.58,31.68,31.76,31.86,31.15,31.37,31.94,30.17,30.49,30.56
Cool-Chic 0.001,,30.6,32.32,32.93,33.41,34.19,32.01,32.73,33.18,33.55,34.34,31.72,31.97,34.38,30.53,32.43,33.21
Cool-Chic 0.0001,,30.65,32.67,33.6,34.53,37.08,32.19,33.19,34.06,34.93,38.04,31.68,32.08,36.89,30.57,33.22,38.58
